iter	RMSE
0	9.228299498
1	9.082824295
2	8.897544931
3	8.718973424
4	8.573606048
5	8.433168397
6	8.269116818
7	8.119822514
8	7.963074466
9	7.832875354
10	7.713275755
11	7.593735763
12	7.460149257
13	7.328567271
14	7.202205944
15	7.094108639
16	6.996769995
17	6.871500848
18	6.763214626
19	6.650593966
20	6.548495296
21	6.435378858
22	6.340237459
23	6.239196774
24	6.132781781
25	6.032242361
26	5.942582413
27	5.834509829
28	5.753359181
29	5.672922967
30	5.587376268
31	5.509362679
32	5.422478561
33	5.356248346
34	5.278472685
35	5.218268884
36	5.164073906
37	5.10311908
38	5.033384219
39	4.983229919
40	4.914285918
41	4.859541935
42	4.817032891
43	4.744829853
44	4.685302769
45	4.626703145
46	4.588799014
47	4.523832237
48	4.483793452
49	4.441216466
50	4.395274671
51	4.345248789
52	4.300579709
53	4.25160493
54	4.206088883
55	4.157525687
56	4.117694226
57	4.086336138
58	4.053649575
59	4.013349286
60	3.966415963
61	3.928358227
62	3.89763985
63	3.865016349
64	3.829700251
65	3.792699176
66	3.765477469
67	3.733883447
68	3.706662938
69	3.67590256
70	3.641181725
71	3.61620355
72	3.588702822
73	3.559139158
74	3.535509575
75	3.501114876
76	3.471395284
77	3.450854694
78	3.419888733
79	3.394774291
80	3.373177725
81	3.346865024
82	3.327008073
83	3.3006405
84	3.285100704
85	3.256857503
86	3.233475429
87	3.210806491
88	3.194532818
89	3.177210031
90	3.163915607
91	3.143455862
92	3.130078481
93	3.117045982
94	3.099226205
95	3.081853878
96	3.061614502
97	3.034105756
98	3.018616908
99	2.997013992
100	2.974832628
101	2.957017619
102	2.932630141
103	2.913508254
104	2.898589171
105	2.884146442
106	2.870412999
107	2.856114295
108	2.83315819
109	2.82196297
110	2.803588273
111	2.781814793
112	2.767707668
113	2.753073105
114	2.74292528
115	2.73369696
116	2.71499904
117	2.702500764
118	2.690935537
119	2.679562678
120	2.666575627
121	2.658209549
122	2.642456466
123	2.629184464
124	2.616589842
125	2.606285669
126	2.591414634
127	2.577521751
128	2.560952772
129	2.552425424
130	2.54572536
131	2.535772319
132	2.527476732
133	2.519623932
134	2.507479414
135	2.501786985
136	2.489620968
137	2.482636808
138	2.475228356
139	2.462901951
140	2.450104725
141	2.442720366
142	2.433293118
143	2.423310558
144	2.416710707
145	2.405048417
146	2.396216504
147	2.384674844
148	2.376717913
149	2.362610133
150	2.34999723
151	2.342370878
152	2.330830077
153	2.32440809
154	2.31919121
155	2.314348855
156	2.303867989
157	2.295927258
158	2.292017464
159	2.285386881
160	2.279581577
161	2.273832778
162	2.269028796
163	2.260396664
164	2.255654204
165	2.250066834
166	2.238324868
167	2.231650947
168	2.222064838
169	2.216851798
170	2.209773233
171	2.198635188
172	2.19265558
173	2.180603835
174	2.171543733
175	2.163654247
176	2.15679059
177	2.147661411
178	2.141854399
179	2.134871837
180	2.127219664
181	2.122706598
182	2.116450538
183	2.108842778
184	2.10122405
185	2.09426659
186	2.086616432
187	2.077530802
188	2.069972416
189	2.064181553
190	2.056621829
191	2.048871287
192	2.046407791
193	2.040667016
194	2.03443329
195	2.028452912
196	2.021405084
197	2.014504589
198	2.010316733
199	2.007277863
200	1.999201441
201	1.995763418
202	1.993097289
203	1.986681194
204	1.984636949
205	1.982957564
206	1.977309297
207	1.975566191
208	1.968954602
209	1.962993648
210	1.956530522
211	1.949818995
212	1.943592904
213	1.942406855
214	1.938748672
215	1.933051739
216	1.928159005
217	1.922548818
218	1.916019247
219	1.911712746
220	1.9051586
221	1.899334414
222	1.893170099
223	1.888106202
224	1.88122478
225	1.871562229
226	1.867981212
227	1.862833964
228	1.857832341
229	1.851913806
230	1.845705303
231	1.839592392
232	1.834599691
233	1.831953072
234	1.825909863
235	1.820879239
236	1.817207704
237	1.81213396
238	1.805076519
239	1.7988444952240	1.7906917992241	1.7859270052242	1.7807456612243	1.7758844672244	1.769474808245	1.766349587
246	1.765104911
247	1.761672118
248	1.757011894
249	1.749981456
250	1.744025814
251	1.739594462
252	1.7312207362253	1.7285139712254	1.72100727
255	1.718840326
256	1.713752025
257	1.709536068
258	1.704288181
259	1.70199709
260	1.69607037
261	1.688047548
262	1.682326309
263	1.6814481
264264	1.6837896265265	1.6787030266266	1.676128267	267	1.673811268	268	1.669443269	269	1.663646270	270	1.658127271	271	1.655781272	272	1.651515273	273	1.650197274	274	1.644254275	275	1.641415276	276	1.636179277	277	1.630776278	278	1.629874279	279	1.627257280	280	1.62477281	1281	1.61989282	1282	1.61834283	1.608237776
284	1.605005204
285	1285	1.6088286	1.598930758
287	1.595889419
288	1.595178736
289	1.589861376
290	1.582751823
291	1.579308771
292	1.574220672
293	1.571883432
294	1.567759582
295	1.564485441
296	1.563843257
297	1.558271437
298	1.552142352
299	1.551475407
300	1.548895398
301	1.544316453
302	1.539006998
303	1.538378554
304	1.532998793
305	1.528447884
306	1.527620953
307	1.524678989
308	1.520041186
309	1.514047453
310	1.508663584
311	1.502915276
